iter	RMSE
0	346815.9383
1	332961.8101
2	319940.297
3	308349.1013
4	297557.7588
5	287177.3781
6	277376.5154
7	268304.2843
8	259780.454
9	251943.5889
10	244744.2009
11	237999.5671
12	231246.7459
13	225585.8323
14	219864.7179
15	214738.1379
16	209986.9592
17	205531.4146
18	200667.5845
19	196657.1772
20	192885.4852
21	189322.0875
22	186039.5916
23	183159.2855
24	180036.4477
25	176529.3837
26	173793.7689
27	171339.7888
28	169299.6094
29	167124.2298
30	164930.9352
31	163019.0108
32	161105.0444
33	159527.0108
34	157374.7251
35	155997.5122
36	154270.5426
37	152941.9616
38	151534.0594
39	150182.3086
40	149118.7914
41	148056.1944
42	146988.5657
43	145564.2118
44	144594.3135
45	143076.6144
46	142284.1743
47	140837.6235
48	140156.2454
49	138686.1301
50	137556.4722
51	136795.6572
52	136129.5473
53	135407.5585
54	134648.8495
55	133943.9475
56	133231.8772
57	132551.6742
58	131666.284
59	130719.2596
60	130140.0392
61	129613.5408
62	129237.026
63	128714.4339
64	128388.0747
65	128029.492
66	127674.7029
67	127142.8586
68	126597.6439
69	126135.9489
70	125797.4191
71	125427.1705
72	125008.6667
73	124666.089
74	124435.7905
75	123999.3646
76	123546.8476
77	123210.4615
78	122848.1326
79	122517.682
80	122040.145
81	121688.0832
82	121246.8154
83	121037.0486
84	120750.1572
85	120456.6212
86	120214.2577
87	119958.5052
88	119677.0614
89	119097.5987
90	118905.2681
91	118688.6238
92	118455.8568
93	118056.5639
94	117600.5081
95	117392.6256
96	117190.254
97	116994.9694
98	116786.2837
99	116519.8107
100	116354.1135
101	116135.2294
102	115942.1297
103	115675.1
104	115441.3866
105	115337.0312
106	115016.1098
107	114809.5442
108	114678.1097
109	114396.6907
110	114247.4461
111	114107.1526
112	113906.6232
113	113687.1747
114	113508.7743
115	113256.2119
116	113113.2194
117	112987.4658
118	112812.176
119	112633.0442
120	112411.5968
121	112251.6257
122	112082.7547
123	111927.9481
124	111605.3577
125	111450.4101
126	111174.156
127	110907.0955
128	110793.833
129	110639.5359
130	110470.5552
131	110318.2388
132	110114.9118
133	109977.9819
134	109828.5336
135	109699.2143
136	109600.5464
137	109399.7436
138	109178.7583
139	109017.1473
140	108866.9605
141	108613.9549
142	108445.822
143	108297.0508
144	108188.6878
145	107881.5634
146	107561.7539
147	107486.7584
148	107349.2464
149	107079.8263
150	106950.7203
151	106697.158
152	106540.5573
153	106389.5994
154	106272.284
155	106072.9852
156	105981.4173
157	105841.0114
158	105733.6988
159	105618.3347
160	105448.3355
161	105331.5595
162	105102.0925
163	104991.6977
164	104852.8214
165	104719.3051
166	104564.6348
167	104438.5435
168	104339.38
169	104242.0022
170	104114.6761
171	104007.489
172	103925.5987
173	103759.8091
174	103584.1272
175	103482.4872
176	103350.5632
177	103223.9362
178	103113.3823
179	102934.5224
180	102783
181	102639.1339
182	102560.1081
183	102451.4101
184	102342.6785
185	102189.3202
186	102079.7887
187	101957.1607
188	101767.9398
189	101685.8064
190	101576.6984
191	101496.6853
192	101385.5578
193	101302.1409
194	101196.8914
195	101038.8778
196	100895.0746
197	100769.2218
198	100676.9957
199	100564.3007
200	100466.1162
201	100257.0947
202	100174.6438
203	100013.1616
204	99912.43911
205	99800.11367
206	99719.26448
207	99647.86364
208	99562.19843
209	99488.86959
210	99390.49177
211	99266.31034
212	99127.66338
213	99025.03835
214	98887.01609
215	98817.29648
216	98686.75484
217	98611.75204
218	98523.25111
219	98432.71201
220	98327.58177
221	98240.23962
222	98137.88673
223	98056.33769
224	97998.41284
225	97915.28414
226	97860.63001
227	97746.97132
228	97649.72623
229	97571.29516
230	97479.71385
231	97336.04646
232	97258.53145
233	97172.26206
234	97092.38256
235	97005.70396
236	96902.56516
237	96834.90194
238	96748.37873
239	96665.09058
240	96552.77609
241	96469.83628
242	96303.39113
243	96202.78189
244	96157.19606
245	96073.65846
246	95990.78371
247	95925.04779
248	95763.58655
249	95697.51052
250	95571.70826
251	95479.24905
252	95413.28282
253	95325.53136
254	95213.33687
255	95130.72666
256	95048.20007
257	94945.27238
258	94888.33523
259	94802.3572
260	94665.64446
261	94588.97741
262	94495.4352
263	94445.59964
264	94299.58775
265	94219.52456
266	94173.22554
267	94099.50658
268	94026.69974
269	93963.92166
270	93908.91037
271	93752.21002
272	93673.09726
273	93596.49861
274	93538.83393
275	93487.23177
276	93404.75038
277	93332.84449
278	93264.1959
279	93108.75485
280	93036.00388
281	92975.33925
282	92909.90916
283	92827.79386
284	92768.55235
285	92707.63062
286	92603.27664
287	92528.14239
288	92438.81388
289	92369.44352
290	92293.59331
291	92235.61224
292	92147.33149
293	92079.7777
294	92003.24002
295	91956.84566
296	91810.98981
297	91738.22039
298	91673.90944
299	91608.1939
300	91558.90777
301	91502.69298
302	91466.88921
303	91406.01594
304	91317.72913
305	91230.5361
306	91156.2541
307	91103.22663
308	91053.24334
309	90981.88204
310	90926.88282
311	90843.24359
312	90734.91289
313	90651.69296
314	90597.92007
315	90529.05728
316	90431.1378
317	90369.33542
318	90318.78047
319	90248.39531
320	90195.62616
321	90136.63481
322	90066.24331
323	90026.83876
324	89932.79649
325	89874.07689
326	89816.44421
327	89708.50263
328	89670.75391
329	89608.83734
330	89547.4271
331	89497.97265
332	89457.10919
333	89341.57218
334	89302.50145
335	89227.25884
336	89142.78134
337	89070.21008
338	89020.14467
339	88963.9346
340	88898.192
341	88865.70059
342	88820.72048
343	88775.4499
344	88729.21365
345	88679.91873
346	88616.99389
347	88587.95965
348	88503.49336
349	88437.95567
350	88383.50975
351	88346.62763
352	88282.62032
353	88218.86514
354	88174.60375
355	88138.23547
356	88074.32467
357	87994.14864
358	87940.0409
359	87894.41934
360	87866.31762
361	87798.17705
362	87733.65505
363	87677.35602
364	87639.18662
365	87587.55615
366	87547.41432
367	87512.41073
368	87454.31215
369	87376.3195
370	87324.56187
371	87257.55396
372	87177.0035
373	87143.27019
374	87110.96717
375	87072.52561
376	87019.11352
377	86972.72059
378	86910.10857
379	86860.37291
380	86805.94357
381	86753.47352
382	86651.3966
383	86616.86624
384	86594.77859
385	86533.96129
386	86487.30992
387	86407.10173
388	86351.99818
389	86255.06178
390	86222.34415
391	86174.59267
392	86131.79183
393	86082.34772
394	86039.88385
395	85979.77608
396	85925.98545
397	85854.16394
398	85809.0014
399	85759.82354
400	85713.0771
401	85659.70421
402	85621.45987
403	85536.73904
404	85482.51307
405	85431.00414
406	85367.04781
407	85323.64949
408	85277.16844
409	85241.48598
410	85149.39398
411	85103.41948
412	85072.48094
413	85031.58476
414	84995.75077
415	84940.53549
416	84905.40072
417	84825.88285
418	84784.21165
419	84736.10225
420	84682.26593
421	84628.72164
422	84592.6832
423	84531.16641
424	84465.90419
425	84435.79518
426	84394.23335
427	84347.5393
428	84284.97542
429	84221.33483
430	84182.77468
431	84138.14128
432	84109.1636
433	84068.69957
434	84016.7317
435	83992.79426
436	83953.53051
437	83910.84728
438	83829.72262
439	83765.9799
440	83721.46167
441	83668.62927
442	83617.04495
443	83594.86347
444	83544.71598
445	83506.41122
446	83478.5542
447	83442.98929
448	83400.15847
449	83365.11505
450	83333.43186
451	83282.71827
452	83249.48783
453	83219.95329
454	83193.33666
455	83126.09961
456	83088.73593
457	83043.65212
458	83018.1086
459	82968.53042
460	82906.81407
461	82874.78581
462	82828.26207
463	82799.94762
464	82773.46165
465	82737.90593
466	82666.56767
467	82624.86314
468	82582.18271
469	82531.69696
470	82483.8366
471	82450.02534
472	82415.62004
473	82393.71831
474	82361.23111
475	82324.31615
476	82276.45707
477	82231.81212
478	82201.3327
479	82156.55145
480	82115.21736
481	82087.05221
482	82040.70312
483	82007.83313
484	81958.37395
485	81914.82321
486	81886.16537
487	81832.65774
488	81810.69813
489	81788.25904
490	81747.79836
491	81708.08112
492	81690.09551
493	81640.66335
494	81605.50413
495	81579.06518
496	81532.11242
497	81497.92147
498	81458.72264
499	81417.84693
500	81358.65718
501	81334.21583
502	81293.10634
503	81246.76301
504	81209.55359
505	81175.74857
506	81116.77353
507	81065.93021
508	81037.02119
509	81015.33401
510	80993.01363
511	80961.10526
512	80924.31618
513	80898.77699
514	80869.66493
515	80826.0934
516	80795.85897
517	80762.80323
518	80736.94671
519	80709.72471
520	80677.50071
521	80653.99939
522	80613.15914
523	80560.47768
524	80498.38267
525	80463.79388
526	80420.80861
527	80375.80952
528	80344.40323
529	80306.47041
530	80275.24498
531	80231.35595
532	80185.83017
533	80135.29841
534	80097.12713
535	80054.44888
536	80027.41077
537	79995.74125
538	79975.76839
539	79934.71816
540	79915.5462
541	79868.21153
542	79842.18536
543	79804.81555
544	79771.33098
545	79731.4277
546	79679.46962
547	79642.29386
548	79617.26062
549	79583.1702
550	79525.96833
551	79503.0114
552	79464.49596
553	79441.00181
554	79418.55015
555	79376.73388
556	79347.48118
557	79314.25697
558	79274.86838
559	79244.44484
560	79218.88786
561	79190.86767
562	79125.34609
563	79112.57771
564	79080.32406
565	79056.07364
566	79018.18186
567	78976.27726
568	78939.14177
569	78906.68514
570	78869.69769
571	78823.32408
572	78771.67694
573	78727.67423
574	78703.25867
575	78668.80229
576	78642.48861
577	78608.2804
578	78591.63093
579	78570.6986
580	78535.47506
581	78487.70726
582	78455.48942
583	78424.1546
584	78397.05594
585	78372.05385
586	78354.33373
587	78332.1949
588	78287.70912
589	78266.2991
590	78209.4399
591	78180.00923
592	78131.40868
593	78094.28745
594	78063.05604
595	78016.0164
596	77980.31475
597	77961.81246
598	77946.02746
599	77909.14429
600	77879.16044
601	77860.97237
602	77854.8838
603	77828.66975
604	77801.67103
605	77777.70386
606	77747.04951
607	77719.99623
608	77699.34411
609	77661.48502
610	77634.9713
611	77593.46213
612	77574.72299
613	77552.43531
614	77519.31949
615	77472.64913
616	77431.3804
617	77402.12
618	77368.31665
619	77329.23952
620	77295.28307
621	77266.38668
622	77241.91633
623	77205.77741
624	77179.41404
625	77154.22637
626	77115.71996
627	77085.62052
628	77063.33004
629	77023.25698
630	77003.57065
631	76950.25959
632	76923.42049
633	76900.70591
634	76878.39265
635	76832.61702
636	76804.29729
637	76788.0852
638	76764.44705
639	76727.49809
640	76692.95333
641	76663.98065
642	76644.32811
643	76623.58795
644	76593.44026
645	76570.42302
646	76532.51486
647	76513.46478
648	76492.9844
649	76465.53536
650	76434.408
651	76413.64416
652	76390.55279
653	76370.36819
654	76344.42302
655	76321.04488
656	76284.04972
657	76253.34007
658	76228.51059
659	76210.1719
660	76175.54022
661	76150.36677
662	76115.81301
663	76097.4381
664	76078.26848
665	76073.51148
666	76017.86998
667	76005.77415
668	75982.29194
669	75959.54574
670	75933.93817
671	75905.94782
672	75864.63047
673	75851.26174
674	75826.98325
675	75783.76537
676	75756.41358
677	75720.64093
678	75702.50186
679	75689.28041
680	75650.0431
681	75617.39229
682	75594.04812
683	75569.41634
684	75553.09902
685	75533.87684
686	75518.3792
687	75492.70542
688	75444.10556
689	75430.15931
690	75411.38443
691	75381.49309
692	75350.97373
693	75318.84692
694	75301.11795
695	75283.88026
696	75257.4514
697	75223.65763
698	75219.47287
699	75198.66581
700	75182.46007
701	75161.78909
702	75148.60633
703	75120.6007
704	75073.37389
705	75052.34058
706	75019.64047
707	74996.21489
708	74981.46416
709	74951.2831
710	74913.64668
711	74882.81929
712	74859.6754
713	74838.54387
714	74803.21493
715	74778.80116
716	74765.64342
717	74744.00125
718	74711.66444
719	74688.51
720	74658.38597
721	74634.79982
722	74601.85341
723	74575.94973
724	74540.33745
725	74513.15646
726	74481.04919
727	74454.85241
728	74434.40064
729	74415.38201
730	74389.98964
731	74348.33032
732	74332.89334
733	74318.44208
734	74297.2913
735	74274.08351
736	74262.96825
737	74215.48834
738	74182.42769
739	74170.01455
740	74145.88216
741	74124.32335
742	74107.06907
743	74083.54724
744	74065.41082
745	74046.57475
746	74024.00976
747	74005.07475
748	73975.564
749	73936.27019
750	73904.08023
751	73891.54139
752	73870.82695
753	73848.14542
754	73820.09257
755	73803.63765
756	73756.63549
757	73731.91488
758	73722.15491
759	73704.27655
760	73669.64351
761	73639.57334
762	73605.01613
763	73580.00416
764	73563.27733
765	73530.72511
766	73519.18025
767	73477.61387
768	73467.37908
769	73441.202
770	73416.98007
771	73394.63461
772	73383.66828
773	73355.16882
774	73329.05807
775	73303.33803
776	73272.96992
777	73248.04012
778	73227.8901
779	73206.06676
780	73191.26331
781	73162.27458
782	73142.72698
783	73121.70183
784	73097.65948
785	73072.19939
786	73048.51374
787	73034.92505
788	73011.97598
789	72995.50366
790	72967.34479
791	72951.21176
792	72932.32427
793	72914.72243
794	72902.63559
795	72877.41663
796	72858.96586
797	72822.44924
798	72811.5009
799	72775.38407
800	72749.25708
801	72727.07949
802	72700.49336
803	72672.81261
804	72651.77551
805	72636.97594
806	72611.23388
807	72597.35884
808	72581.7512
809	72561.80705
810	72548.10915
811	72520.56661
812	72494.02869
813	72479.9612
814	72461.25176
815	72438.10537
816	72417.04575
817	72398.38464
818	72381.38717
819	72367.95976
820	72344.93669
821	72330.61114
822	72305.8228
823	72289.93919
824	72270.92704
825	72252.55148
826	72235.66173
827	72212.6753
828	72191.69661
829	72158.85018
830	72140.81671
831	72119.61331
832	72078.73151
833	72064.77236
834	72046.2182
835	72012.16896
836	71989.4363
837	71972.70882
838	71952.93651
839	71924.06144
840	71894.35387
841	71860.24733
842	71850.05381
843	71825.98245
844	71798.66961
845	71772.71697
846	71757.39652
847	71739.41626
848	71711.89638
849	71701.69791
850	71687.92669
851	71674.06195
852	71658.20317
853	71653.56212
854	71632.87948
855	71603.56596
856	71587.43785
857	71570.35575
858	71546.3426
859	71522.92483
860	71498.60433
861	71463.14344
862	71447.71421
863	71429.45124
864	71404.35168
865	71386.54399
866	71369.35858
867	71358.7274
868	71336.37957
869	71299.22804
870	71277.64368
871	71257.08158
872	71232.63618
873	71223.78008
874	71210.53555
875	71187.86894
876	71167.60012
877	71145.60856
878	71125.52156
879	71105.68249
880	71091.34519
881	71075.87791
882	71051.15973
883	71033.33046
884	71016.79938
885	70996.70033
886	70981.6893
887	70967.19784
888	70938.64677
889	70922.19092
890	70895.11879
891	70860.09859
892	70839.09029
893	70833.68021
894	70819.69461
895	70815.59385
896	70772.50441
897	70747.5852
898	70733.20937
899	70708.14536
900	70705.16591
901	70680.89127
902	70667.29481
903	70641.97162
904	70611.74409
905	70608.28026
906	70588.64947
907	70571.1753
908	70557.64838
909	70541.47956
910	70516.48916
911	70497.10491
912	70475.45846
913	70461.48136
914	70427.07019
915	70394.97875
916	70392.16146
917	70360.01747
918	70319.15123
919	70292.99705
920	70269.08585
921	70247.88379
922	70232.84128
923	70220.85829
924	70204.43614
925	70201.65965
926	70189.4124
927	70176.64875
928	70162.50991
929	70139.20576
930	70109.86808
931	70090.43041
932	70073.43472
933	70051.5803
934	70033.41973
935	70028.29726
936	70015.83292
937	69996.6731
938	69974.1049
939	69962.67767
940	69947.42482
941	69919.36258
942	69886.85692
943	69873.87262
944	69856.08692
945	69837.12821
946	69824.80234
947	69799.29368
948	69785.41215
949	69759.73903
950	69741.03508
951	69730.08835
952	69714.53741
953	69697.71877
954	69688.9086
955	69676.77324
956	69667.96573
957	69665.45535
958	69645.94108
959	69621.44596
960	69590.53951
961	69579.23083
962	69577.18729
963	69555.96348
964	69546.64634
965	69540.1825
966	69525.87632
967	69513.58208
968	69480.81092
969	69450.31943
970	69436.42208
971	69418.9403
